approp,bar,pie,hist,bardot,box,dot,violin,flowyes,flowno,paper_id
0,0,0,0,0,0,0,0,0,1,10.1007/s00392-020-01650-9
0,0,0,0,0,0,0,0,1,0,10.1136/rmdopen-2019-000987
0,0,0,0,0,0,0,0,0,0,10.1074/mcp.R120.002034
0,2,0,0,0,0,1,0,0,0,10.3390/cells9112405
0,0,0,0,0,0,0,0,0,0,10.1212/NXI.0000000000000731
0,0,0,0,0,0,0,0,0,0,10.1186/s13293-020-00322-7
3,1,1,0,1,0,3,2,0,0,10.1038/s41587-020-00796-1
0,2,0,0,0,0,0,0,0,0,10.1007/s00404-020-05686-0
0,0,0,0,0,0,0,0,1,0,10.1055/a-1096-3679
1,0,0,0,0,0,0,0,0,0,10.1038/s41598-020-71512-x
1,0,0,1,0,0,0,0,0,0,10.1007/s00103-020-03098-8
0,0,0,0,0,0,0,0,0,0,10.1098/rsos.191976
0,0,0,0,0,2,0,0,0,0,10.3390/ma13081990
0,1,0,0,0,5,0,0,0,0,10.3390/ijms21186634
1,0,0,0,0,0,0,0,1,1,10.1007/s10899-020-09948-z
0,0,0,0,0,0,0,0,0,0,10.1002/wps.20718
0,1,0,0,0,0,0,0,0,0,10.3390/cells9071733
0,0,0,0,0,0,0,0,0,0,10.1007/s00115-020-00990-1
0,0,0,0,0,0,0,0,0,0,10.1001/jamanetworkopen.2020.3862
1,0,0,0,0,0,3,0,0,0,10.1136/annrheumdis-2019-216919
0,0,0,0,0,0,0,0,0,0,10.1007/s00053-020-00436-x
0,0,0,0,0,0,0,0,0,0,10.1007/978-1-0716-0755-8_18
0,0,0,0,0,3,0,0,0,0,10.1371/journal.pone.0231670
0,0,1,0,0,0,0,0,0,0,10.1007/s00104-020-01133-7
0,0,0,0,0,0,0,0,0,0,10.3390/jcm9124074
0,0,0,0,0,0,0,0,1,0,10.1007/s00105-020-04604-4
0,0,0,0,0,0,0,0,0,0,10.1007/s11605-020-04652-0
1,2,0,0,0,0,0,0,0,0,10.1038/s41598-020-67872-z
0,0,0,0,0,0,0,0,0,0,10.1002/hbm.24988
