,bar,pie,hist,bardot,box,dot,violin,paper_id,year
0,0,0,0,0,0,0,0,10.1001/jama.2014.15770,2015
1,0,0,0,0,0,0,0,10.1001/jama.2014.5985,2015
2,0,0,0,0,0,0,0,10.1001/jama.2015.0846,2015
3,0,0,0,0,0,0,0,10.1001/jama.2015.15734,2015
4,0,0,0,0,0,0,0,10.1001/jama.2015.4668,2015
5,0,0,0,0,0,0,0,10.1001/jamainternmed.2015.6523,2015
6,0,0,0,0,0,0,0,10.1001/jamaneurol.2015.0248,2015
7,0,0,0,0,0,0,0,10.1001/jamaneurol.2015.1806,2015
8,0,0,0,0,0,0,0,10.1001/jamaneurol.2015.3627,2015
9,0,0,0,0,0,0,0,10.1001/jamaoncol.2015.0735,2015
10,0,0,0,0,0,0,0,10.1001/jamaoncol.2015.2413,2015
11,0,0,0,0,0,0,0,10.1001/jamaophthalmol.2015.0906,2015
12,0,0,0,0,0,0,0,10.1001/jamapediatrics.2015.0504,2015
13,0,0,0,0,0,2,0,10.1001/jamapsychiatry.2015.1131,2015
14,0,0,0,0,0,0,0,10.1001/jamapsychiatry.2015.2146,2015
15,0,0,0,0,0,0,0,10.1001/jamapsychiatry.2015.2196,2015
16,0,0,0,0,0,0,0,10.1002%2F0471142905.hg1116s87,2015
17,0,0,0,0,0,0,0,10.1002%2Feji.201445064,2015
18,0,0,0,0,0,0,0,10.1002/acn3.139,2015
19,0,0,0,0,0,0,0,10.1002/acr.22592,2015
20,1,0,0,0,0,0,0,10.1002/acr.22594,2015
21,0,0,0,0,0,0,0,10.1002/acr.22649,2015
22,0,0,0,0,0,0,0,10.1002/acr.22667,2015
23,0,0,0,0,0,0,0,10.1002/acr.22741,2015
24,0,0,0,0,0,0,0,10.1002/anie.201502931,2015
25,2,0,0,0,0,1,0,10.1002/art.39094,2015
26,1,0,0,0,0,0,0,10.1002/art.39145,2015
27,1,0,0,0,0,0,0,10.1002/art.39225,2015
28,0,0,0,0,0,0,0,10.1002/art.39234,2015
29,0,0,0,0,0,0,0,10.1002/art.39405,2015
30,1,0,0,0,0,0,0,10.1002/art.39434,2015
31,0,0,0,0,0,0,0,10.1002/art.39559,2015
