"orcids","doi"
NA,"10.1001/jama.2016.14486"
NA,"10.1001/jama.2016.14799"
NA,"10.1001/jama.2016.1975"
NA,"10.1001/jama.2016.20165"
NA,"10.1001/jama.2016.3608"
NA,"10.1001/jama.2016.5444"
NA,"10.1001/jama.2016.7635"
NA,"10.1001/jama.2017.8978"
NA,"10.1001/jama.2018.16773"
NA,"10.1001/jama.2019.1113"
NA,"10.1001/jama.2019.13014"
NA,"10.1001/jama.2019.14608"
NA,"10.1001/jama.2019.9053"
NA,"10.1001/jama.2020.10155"
NA,"10.1001/jama.2020.10690"
NA,"10.1001/jama.2020.15922"
NA,"10.1001/jama.2020.16909"
NA,"10.1001/jama.2020.18618"
NA,"10.1001/jama.2020.26345"
NA,"10.1001/jama.2020.26812"
NA,"10.1001/jama.2020.6504"
NA,"10.1001/jama.2020.7172"
NA,"10.1001/jama.2021.0987"
NA,"10.1001/jama.2021.16628"
NA,"10.1001/jama.2021.18236"
NA,"10.1001/jama.2021.18323"
NA,"10.1001/jama.2021.18463"
NA,"10.1001/jama.2021.2747"
NA,"10.1001/jamacardio.2016.0695"
NA,"10.1001/jamacardio.2018.4729"
NA,"10.1001/jamacardio.2019.1049"
NA,"10.1001/jamacardio.2019.1739"
NA,"10.1001/jamacardio.2019.2298"
NA,"10.1001/jamacardio.2019.3355"
NA,"10.1001/jamacardio.2019.3502"
NA,"10.1001/jamacardio.2020.3551"
NA,"10.1001/jamacardio.2021.0475"
NA,"10.1001/jamadermatol.2017.3029"
NA,"10.1001/jamadermatol.2017.6058"
NA,"10.1001/jamadermatol.2019.0279"
NA,"10.1001/jamadermatol.2019.2941"
NA,"10.1001/jamadermatol.2019.3617"
NA,"10.1001/jamadermatol.2019.4835"
NA,"10.1001/jamadermatol.2020.0723"
NA,"10.1001/jamadermatol.2020.5839"
NA,"10.1001/jamadermatol.2021.3491"
NA,"10.1001/jamainternmed.2016.2514"
NA,"10.1001/jamainternmed.2020.1670"
NA,"10.1001/jamanetworkopen.2018.0769"
NA,"10.1001/jamanetworkopen.2019.0896"
NA,"10.1001/jamanetworkopen.2019.16800"
NA,"10.1001/jamanetworkopen.2019.4980"
NA,"10.1001/jamanetworkopen.2019.5844"
NA,"10.1001/jamanetworkopen.2019.8898"
NA,"10.1001/jamanetworkopen.2020.0772"
NA,"10.1001/jamanetworkopen.2020.12469"
NA,"10.1001/jamanetworkopen.2020.25473"
NA,"10.1001/jamanetworkopen.2020.26874"
NA,"10.1001/jamanetworkopen.2020.3862"
NA,"10.1001/jamanetworkopen.2020.6027"
NA,"10.1001/jamanetworkopen.2021.0380"
NA,"10.1001/jamanetworkopen.2021.21418"
NA,"10.1001/jamanetworkopen.2021.27168"
NA,"10.1001/jamanetworkopen.2021.27622"
NA,"10.1001/jamanetworkopen.2021.28225"
NA,"10.1001/jamanetworkopen.2021.3209"
NA,"10.1001/jamanetworkopen.2021.33601"
NA,"10.1001/jamanetworkopen.2021.34290"
NA,"10.1001/jamanetworkopen.2021.35841"
NA,"10.1001/jamanetworkopen.2021.36577"
NA,"10.1001/jamanetworkopen.2021.36809"
NA,"10.1001/jamaneurol.2016.0292"
NA,"10.1001/jamaneurol.2016.2067"
NA,"10.1001/jamaneurol.2016.4226"
NA,"10.1001/jamaneurol.2017.3880"
NA,"10.1001/jamaneurol.2017.3890"
NA,"10.1001/jamaneurol.2018.1011"
NA,"10.1001/jamaneurol.2018.3777"
NA,"10.1001/jamaneurol.2018.3960"
NA,"10.1001/jamaneurol.2018.4822"
NA,"10.1001/jamaneurol.2019.0079"
NA,"10.1001/jamaneurol.2019.0351"
NA,"10.1001/jamaneurol.2019.0617"
NA,"10.1001/jamaneurol.2019.0905"
NA,"10.1001/jamaneurol.2019.2478"
NA,"10.1001/jamaneurol.2019.4476"
NA,"10.1001/jamaneurol.2020.2340"
NA,"10.1001/jamaneurol.2021.0001"
NA,"10.1001/jamaneurol.2021.1116"
NA,"10.1001/jamaneurol.2021.2004"
NA,"10.1001/jamaoncol.2016.5688"
NA,"10.1001/jamaoncol.2016.5945"
NA,"10.1001/jamaoncol.2017.1007"
NA,"10.1001/jamaoncol.2017.4996"
NA,"10.1001/jamaoncol.2017.5524"
NA,"10.1001/jamaoncol.2018.0077"
NA,"10.1001/jamaoncol.2018.2706"
NA,"10.1001/jamaoncol.2019.0402"
NA,"10.1001/jamaoncol.2019.3531"
NA,"10.1001/jamaoncol.2020.0249"
NA,"10.1001/jamaoncol.2020.1796"
NA,"10.1001/jamaoncol.2020.7442"
NA,"10.1001/jamaoncol.2021.1854"
NA,"10.1001/jamaoncol.2021.2049"
NA,"10.1001/jamaoncol.2021.2193"
NA,"10.1001/jamaoncol.2021.2301"
NA,"10.1001/jamapediatrics.2015.4276"
NA,"10.1001/jamapediatrics.2017.2914"
NA,"10.1001/jamapsychiatry.2015.2653"
NA,"10.1001/jamapsychiatry.2016.0161"
NA,"10.1001/jamapsychiatry.2016.3955"
NA,"10.1001/jamapsychiatry.2017.3016"
NA,"10.1001/jamapsychiatry.2017.3391"
NA,"10.1001/jamapsychiatry.2017.3433"
NA,"10.1001/jamapsychiatry.2018.0623"
NA,"10.1001/jamapsychiatry.2018.1973"
NA,"10.1001/jamapsychiatry.2018.4126"
NA,"10.1001/jamapsychiatry.2018.4175"
NA,"10.1001/jamapsychiatry.2018.4320"
NA,"10.1001/jamapsychiatry.2019.1702"
NA,"10.1001/jamapsychiatry.2019.1937"
NA,"10.1001/jamapsychiatry.2019.2859"
NA,"10.1001/jamapsychiatry.2019.4063"
NA,"10.1001/jamapsychiatry.2019.4379"
NA,"10.1001/jamapsychiatry.2019.4971"
NA,"10.1001/jamapsychiatry.2020.0284"
NA,"10.1001/jamapsychiatry.2020.2076"
NA,"10.1001/jamapsychiatry.2020.2148"
NA,"10.1001/jamapsychiatry.2020.4045"
NA,"10.1001/jamapsychiatry.2020.4564"
NA,"10.1001/jamapsychiatry.2021.0015"
NA,"10.1001/jamapsychiatry.2021.0380"
NA,"10.1001/jamapsychiatry.2021.0638"
NA,"10.1001/jamapsychiatry.2021.1258"
NA,"10.1001/jamapsychiatry.2021.2099"
NA,"10.1001/jamapsychiatry.2021.2506"
NA,"10.1001/jamasurg.2018.0996"
NA,"10.1001/jamasurg.2021.0949"
NA,"10.1002/14651858.cd001218.pub3"
NA,"10.1002/14651858.CD002243.pub4"
NA,"10.1002/14651858.cd004014.pub6"
NA,"10.1002/14651858.cd007587.pub2"
NA,"10.1002/14651858.CD009687.pub2"
NA,"10.1002/14651858.cd011535.pub4"
NA,"10.1002/14651858.cd011627.pub2"
NA,"10.1002/14651858.cd012079"
NA,"10.1002/14651858.CD012338"
NA,"10.1002/14651858.cd012376"
NA,"10.1002/14651858.CD012451"
