article,is_open_data,open_data_category,is_open_code,open_data_statements,open_code_statements,year
10.1002+1873-3468.12134.txt,FALSE,,FALSE,,,2016
10.1002+ajmg.c.31529.txt,FALSE,,FALSE,,,2016
10.1002+cbic.201500559.txt,FALSE,,FALSE,,,2016
10.1002+cyto.a.22888.txt,FALSE,,FALSE,,,2016
10.1002+cyto.a.23016.txt,FALSE,,FALSE,,,2016
10.1002+eji.201646419.txt,FALSE,,FALSE,,,2016
10.1002+ejic.201600325.txt,FALSE,,FALSE,,,2016
10.1002+hed.23943.txt,FALSE,,FALSE,,,2016
10.1002+humu.22960.txt,FALSE,,FALSE,,,2016
10.1002+jbio.201500141.txt,FALSE,,FALSE,,,2016
10.1002+jmri.25342.txt,FALSE,,FALSE,,,2016
10.1002+jrs.4975.txt,FALSE,,FALSE,,,2016
10.1002+lary.25670.txt,FALSE,,FALSE,,,2016
10.1002+marc.201600650.txt,FALSE,,FALSE,,,2016
10.1002+mds.26580.txt,FALSE,,FALSE,,,2016
10.1002+polb.24097.txt,FALSE,,FALSE,,,2016
10.1002+psc.2870.txt,FALSE,,FALSE,,,2016
10.1002+ptr.5554.txt,FALSE,,FALSE,,,2016
10.1002+slct.201601513.txt,FALSE,,FALSE,,,2016
10.1002+term.1923.txt,FALSE,,FALSE,,,2016
10.1007+S00053-016-0113-4.txt,FALSE,,FALSE,,,2016
10.1007+s00101-015-0129-0.txt,FALSE,,FALSE,,,2016
10.1007+s00105-015-3758-y.txt,FALSE,,FALSE,,,2016
10.1007+s00142-015-0059-5.txt,FALSE,,FALSE,,,2016
10.1007+s00142-015-0060-z.txt,FALSE,,FALSE,,,2016
10.1007+s00142-016-0062-5.txt,FALSE,,FALSE,,,2016
10.1007+s00142-016-0088-8.txt,FALSE,,FALSE,,,2016
10.1007+s00142-016-0100-3.txt,FALSE,,FALSE,,,2016
10.1007+s00167-014-3324-7.txt,FALSE,,FALSE,,,2016
10.1007+s00167-014-3341-6.txt,FALSE,,FALSE,,,2016
10.1007+s00278-016-0116-1.txt,FALSE,,FALSE,,,2016
10.1007+s00281-015-0531-3.txt,FALSE,,FALSE,,,2016
10.1007+s00391-015-0920-1.txt,FALSE,,FALSE,,,2016
10.1007+s00393-016-0113-3.txt,FALSE,,FALSE,,,2016
10.1007+s00395-015-0522-5.txt,FALSE,,FALSE,,,2016
10.1007+s00401-016-1602-9.txt,FALSE,,FALSE,,,2016
10.1007+s00429-014-0891-9.txt,FALSE,,FALSE,,,2016
10.1007+s00429-014-0895-5.txt,FALSE,,FALSE,,,2016
10.1007+s00429-014-0962-y.txt,FALSE,,FALSE,,,2016
10.1007+s00481-016-0404-x.txt,FALSE,,FALSE,,,2016
10.1007+s00608-016-0423-3.txt,FALSE,,FALSE,,,2016
10.1007+s00717-016-0320-y.txt,FALSE,,FALSE,,,2016
10.1007+s00761-015-3008-z.txt,FALSE,,FALSE,,,2016
10.1007+s00761-016-0061-1.txt,FALSE,,FALSE,,,2016
10.1007+s00761-016-0135-0.txt,FALSE,,FALSE,,,2016
10.1007+s00761-016-0136-z.txt,FALSE,,FALSE,,,2016
10.1007+s10039-015-0037-1.txt,FALSE,,FALSE,,,2016
10.1007+s10039-015-0047-z.txt,FALSE,,FALSE,,,2016
10.1007+s10039-016-0167-0.txt,FALSE,,FALSE,,,2016
10.1007+s10304-015-0043-1.txt,FALSE,,FALSE,,,2016
10.1007+s10353-016-0423-3.txt,FALSE,,FALSE,,,2016
10.1007+s10896-015-9754-2.txt,FALSE,,FALSE,,,2016
10.1007+s11340-016-0201-y.txt,FALSE,,FALSE,,,2016
10.1007+s11553-016-0529-2.txt,FALSE,,FALSE,,,2016
10.1007+s11553-016-0539-0.txt,FALSE,,FALSE,,,2016
10.1007+s11605-016-3200-5.txt,FALSE,,FALSE,,,2016
10.1007+s11678-016-0354-4.txt,FALSE,,FALSE,,,2016
10.1007+s11678-016-0361-5.txt,FALSE,,FALSE,,,2016
10.1007+s11678-016-0363-3.txt,FALSE,,FALSE,,,2016
10.1007+s11678-016-0384-y.txt,FALSE,,FALSE,,,2016
10.1007+s11757-015-0346-z.txt,FALSE,,FALSE,,,2016
10.1007+s11757-016-0375-2.txt,FALSE,,FALSE,,,2016
10.1007+s11757-016-0376-1.txt,FALSE,,FALSE,,,2016
10.1007+s11757-016-0387-y.txt,FALSE,,FALSE,,,2016
10.1007+s11757-016-0389-9.txt,FALSE,,FALSE,,,2016
10.1007+s11818-016-0060-x.txt,FALSE,,FALSE,,,2016
10.1007+s12038-016-9650-9.txt,FALSE,,FALSE,,,2016
10.1007+s12274-016-1220-9.txt,FALSE,,FALSE,,,2016
10.1007+s12603-016-0741-y.txt,FALSE,,FALSE,,,2016
10.1007+s12671-016-0572-2.txt,FALSE,,FALSE,,,2016
10.1007+s15007-016-1015-z.txt,FALSE,,FALSE,,,2016
10.1007+s15007-016-1060-7.txt,FALSE,,FALSE,,,2016
10.1007+s40520-014-0298-8.txt,FALSE,,FALSE,,,2016
10.1007+s40629-016-0119-z.txt,FALSE,,FALSE,,,2016
10.1007+s40664-015-0031-2.txt,FALSE,,FALSE,,,2016
10.1007+s40664-015-0048-6.txt,FALSE,,FALSE,,,2016
10.1007+s40664-015-0063-7.txt,FALSE,,FALSE,,,2016
10.1016+j.bbamcr.2015.11.010.txt,FALSE,,FALSE,,,2016
10.1016+j.dld.2015.09.015.txt,FALSE,,FALSE,,,2016
10.1016+j.ehj.2016.11.006.txt,FALSE,,FALSE,,,2016
10.1016+j.ekir.2016.06.009.txt,FALSE,,FALSE,,,2016
10.1016+j.eurpolymj.2016.10.011.txt,FALSE,,FALSE,,,2016
10.1016+j.hjc.2016.03.004.txt,FALSE,,FALSE,,,2016
10.1016+j.ijmm.2016.06.006.txt,TRUE,field-specific repository,FALSE,夽 microarray data from this publication has been deposited in ncbi’s gene expression omnibus (geo http://www.ncbi.nlm.nih.gov/geo/) and are accessible through geo series accession number gse72585.;     the data presented in this publication have been deposited in ncbi’s gene expression omnibus (geo http://www.ncbi.nlm.nih.gov/geo/) and are accessible through geo series accession number gse72585.,,2016
10.1016+j.jtcvs.2016.05.018.txt,FALSE,,FALSE,,,2016
10.1016+j.stemcr.2016.04.011.txt,FALSE,,FALSE,,,2016
10.1016+j.tube.2016.05.010.txt,FALSE,,FALSE,,,2016
10.1016+S0140-6736(16)31012-1.txt,TRUE,supplement,TRUE,all data inputs 8  data analysis  (table 1,for each step in the workﬂow diagrams computer code is either on github such as codem 2015 and dismod-mr 2.1160161 or available on the ihme website for download.,2016
10.1016+S0140-6736(16)31460-X.txt,FALSE,,FALSE,,,2016
10.1016+S0140-6736(16)31467-2.txt,FALSE,,FALSE,,,2016
10.1016+S0140-6736(16)31470-2.txt,FALSE,,FALSE,,,2016
10.1016+S0140-6736(16)31678-6.txt,FALSE,,FALSE,,,2016
10.1016+S0140-6736(16)31679-8.txt,FALSE,,FALSE,,,2016
10.1016+S0415-6412(16)30002-9.txt,FALSE,,FALSE,,,2016
10.1016+S2352-3018(16)30087-X.txt,FALSE,,FALSE,,,2016
10.1017+S0007114515004985.txt,FALSE,,FALSE,,,2016
10.1017+S1356186315000735.txt,FALSE,,FALSE,,,2016
10.1021+acs.chemmater.6b00811.txt,FALSE,,FALSE,,,2016
10.1021+acs.jmedchem.6b01009.txt,TRUE,supplement,FALSE,crystallographic data centre (www.ccdc.cam.ac.uk/data_request/cif,,2016
10.1021+acs.jpcc.6b09374.txt,FALSE,,FALSE,,,2016
10.1021+acs.macromol.6b01539.txt,FALSE,,FALSE,,,2016
10.1021+acs.molpharmaceut.5b00961.txt,FALSE,,FALSE,,,2016
10.1021+acsomega.6b00182.txt,FALSE,,FALSE,,,2016
10.1024+0040-5930+a000831.txt,FALSE,,FALSE,,,2016
10.1024+0939-5911+a000422.txt,FALSE,,FALSE,,,2016
10.1024+0939-5911+a000423.txt,FALSE,,FALSE,,,2016
10.1027+1614-0001+a000208.txt,FALSE,,FALSE,,,2016
10.1038+cti.2016.81.txt,FALSE,,FALSE,,,2016
10.1038+ncomms10519.txt,FALSE,,FALSE,,,2016
