approp,bar,pie,hist,bardot,box,dot,violin,flowyes,flowno,paper_id
0,0,0,0,0,0,1,0,0,0,10.1111/all.12714
0,0,0,0,0,0,0,0,0,0,10.1111/1471-0528.13840
0,0,0,0,0,0,0,0,0,1,10.1055/s-0034-1396838
0,0,0,0,0,0,0,0,0,0,10.1016/j.ejca.2015.05.005
1,0,0,0,0,0,0,0,0,0,10.1002/pds.3895
0,0,0,0,0,0,0,0,0,2,10.1007/s00115-014-4162-z
0,0,0,0,0,0,0,0,1,0,10.1111/trf.13428
0,0,0,0,0,0,0,0,1,0,10.1007/s10654-014-9982-4
0,0,0,0,0,0,0,0,0,0,10.3389/fimmu.2015.00613
0,0,0,0,0,0,0,0,0,0,10.1097/IGC.0000000000000493
0,2,0,0,0,0,0,0,0,0,10.1007/s10554-014-0565-y
0,5,0,0,0,2,0,0,0,0,10.1093/nar/gkv1244
0,5,0,0,0,0,3,0,0,0,10.1016/j.neuron.2015.01.018
0,0,0,0,0,0,0,0,0,0,10.1016/bs.pbr.2015.07.026
0,0,0,0,0,0,0,0,0,0,10.1007/s00381-015-2635-4
1,0,0,0,0,0,0,0,1,0,10.1007/s00482-014-1508-1
0,0,0,0,0,0,0,0,0,0,10.1093/nar/gkv694
0,0,0,0,0,0,0,0,0,0,10.3390/ijms160511713
0,0,0,0,0,0,0,0,0,0,10.1186/s40413-015-0055-2
0,0,0,0,0,0,0,0,0,0,10.1160/TH14-05-0449
0,0,0,0,0,1,0,0,0,0,10.1093/schbul/sbv124
0,0,0,0,0,0,0,0,0,0,10.15326/jcopdf.2.2.2014.0149
0,0,0,0,0,0,0,0,0,1,10.1007/s00106-014-2973-7
0,3,0,0,0,0,0,0,0,0,10.1111/apha.12586
0,0,0,0,0,0,0,0,0,0,10.1111/ics.12233
0,0,0,0,0,0,0,0,0,0,10.1186/s13014-015-0402-z
0,0,0,0,0,0,0,0,0,0,10.3109/0142159X.2015.1047752
0,0,0,0,0,0,0,0,0,0,10.1093/omcr/omv015
0,0,0,0,0,0,0,0,0,0,10.1186/s13014-014-0323-2
0,0,0,0,0,0,0,0,0,0,10.1159/000377696
0,1,0,0,0,0,0,0,0,0,10.3109/10253890.2015.1087504
0,0,0,0,0,0,0,0,0,0,10.1007/s00393-014-1543-4
0,0,0,0,0,0,0,0,0,0,10.1177/1352458515572406
1,0,0,0,0,0,0,0,1,0,10.1186/s12889-015-1929-5
0,0,0,0,0,0,0,0,0,0,10.1007/s00417-015-2939-9
0,0,0,0,0,0,0,0,0,0,10.1007/s00018-015-2072-2
0,1,0,0,0,1,0,0,0,0,10.1159/000439589
0,0,0,0,0,0,0,0,0,0,10.1007/s00347-014-3173-2
1,0,1,0,0,0,0,0,0,0,10.1111/all.12588
0,0,0,0,0,0,0,0,0,0,10.12945/j.aorta.2015.14.064
0,0,0,0,0,0,1,0,0,0,10.1093/brain/awv029
0,0,0,0,0,0,0,0,0,0,10.1007/s00787-015-0729-x
0,0,0,0,0,0,0,0,0,0,10.1016/j.scr.2015.12.021
0,0,0,0,0,0,0,0,0,0,10.1007/s15010-015-0865-8
0,0,0,0,0,0,0,0,0,0,10.1007/978-3-319-13957-9_10
0,0,0,0,0,0,0,0,0,0,10.1111/ijs.12473
1,0,0,0,0,0,0,0,1,0,10.1371/journal.pone.0119900
1,4,0,0,0,0,0,0,0,0,10.1101/gr.182444.114
