doi,orcids
10.1001/jama.2023.17002,
10.1001/jama.2023.9106,
10.1001/jamacardio.2023.1090,
10.1001/jamacardio.2023.1505,
10.1001/jamacardio.2023.3003,
10.1001/jamadermatol.2023.1729,
10.1001/jamanetworkopen.2022.55599,
10.1001/jamanetworkopen.2022.56208,
10.1001/jamanetworkopen.2023.0090,
10.1001/jamanetworkopen.2023.12810,
10.1001/jamanetworkopen.2023.13734,
10.1001/jamanetworkopen.2023.1870,
10.1001/jamanetworkopen.2023.22750,
10.1001/jamanetworkopen.2023.24511,
10.1001/jamanetworkopen.2023.25197,
10.1001/jamanetworkopen.2023.31168,
10.1001/jamanetworkopen.2023.31410,
10.1001/jamanetworkopen.2023.34078,
10.1001/jamanetworkopen.2023.42107,
10.1001/jamanetworkopen.2023.43689,
10.1001/jamaneurol.2022.4782,
10.1001/jamaneurol.2022.5128,
10.1001/jamaneurol.2022.5332,
10.1001/jamaneurol.2023.1792,
10.1001/jamaneurol.2023.2523,
10.1001/jamaneurol.2023.2536,
10.1001/jamaneurol.2023.3284,
10.1001/jamaoto.2023.0841,
10.1001/jamaoto.2023.3111,
10.1001/jamapsychiatry.2023.2949,
10.1001/jamapsychiatry.2023.2983,
10.1001/jamapsychiatry.2023.2996,
10.1001/jamapsychiatry.2023.3582,
10.1001/jamasurg.2022.6855,
10.1001/jamasurg.2023.1772,
10.1001/jamasurg.2023.2840,
10.1002/14651858.cd008634.pub3,
10.1002/14651858.cd011535.pub6,
10.1002/14651858.cd014808,
10.1002/14651858.cd014962.pub2,
10.1002/14651858.cd015078,
10.1002/1873-3468.14675,https://orcid.org/0000-0002-5730-8319; https://orcid.org/0000-0001-5447-738X
10.1002/1878-0261.13418,https://orcid.org/0000-0002-9639-7940; https://orcid.org/0000-0002-1595-6887; https://orcid.org/0000-0003-1396-6341; https://orcid.org/0000-0002-4903-0150; https://orcid.org/0000-0002-7427-0578
10.1002/1878-0261.13435,https://orcid.org/0000-0002-1381-8595
10.1002/acn3.51875,https://orcid.org/0000-0002-6986-3969; https://orcid.org/0000-0003-4833-5937
10.1002/acn3.51911,https://orcid.org/0000-0002-8672-8419; https://orcid.org/0000-0002-6378-0070; https://orcid.org/0000-0001-7689-2533
